year,month,treatment,age_grp_twenty,N_ID
2015,4,2,5,-1
2015,4,3,.,18
2015,4,3,1,137
2015,4,3,2,2221
2015,4,3,3,1538
2015,4,3,4,257
2015,4,3,5,-1
2016,4,1,.,44
2016,4,1,1,28
2016,4,1,2,9843
2016,4,1,3,5775
2016,4,1,4,819
2016,4,1,5,-1
2016,4,2,.,142
2016,4,2,1,150
2016,4,2,2,17242
2016,4,2,3,12228
2016,4,2,4,1556
2016,4,2,5,-1
2016,4,3,.,17
2016,4,3,1,130
2016,4,3,2,2800
2016,4,3,3,1859
2016,4,3,4,327
2016,4,3,5,-1
2017,4,1,.,44
2017,4,1,1,36
2017,4,1,2,10135
2017,4,1,3,6165
2017,4,1,4,984
2017,4,1,5,-1
2017,4,2,.,124
2017,4,2,1,109
2017,4,2,2,18428
2017,4,2,3,13887
2017,4,2,4,2029
2017,4,2,5,-1
2017,4,3,.,28
2017,4,3,1,106
2017,4,3,2,3199
2017,4,3,3,2348
2017,4,3,4,480
2017,4,3,5,-1
2018,4,1,.,41
2018,4,1,1,38
2018,4,1,2,11140
2018,4,1,3,7743
2018,4,1,4,1303
2018,4,1,5,-1
2018,4,2,.,113
2018,4,2,1,107
2018,4,2,2,18799
2018,4,2,3,15391
2018,4,2,4,2658
2018,4,2,5,-1
2018,4,3,.,25
2018,4,3,1,112
2018,4,3,2,3101
2018,4,3,3,2665
2018,4,3,4,637
2018,4,3,5,-1
2019,4,1,.,55
2019,4,1,1,35
2019,4,1,2,10987
2019,4,1,3,8185
2019,4,1,4,1477
2019,4,1,5,-1
2019,4,2,.,94
2019,4,2,1,102
2019,4,2,2,18857
2019,4,2,3,16686
2019,4,2,4,3285
2019,4,2,5,17
2019,4,3,.,24
2019,4,3,1,88
2019,4,3,2,2922
2019,4,3,3,2821
2019,4,3,4,747
2019,4,3,5,-1
2020,4,1,.,53
2020,4,1,1,32
2020,4,1,2,10594
2020,4,1,3,8605
2020,4,1,4,1695
2020,4,1,5,-1
2020,4,2,.,130
2020,4,2,1,87
2020,4,2,2,19451
2020,4,2,3,18699
2020,4,2,4,3984
2020,4,2,5,21
2020,4,3,.,36
2020,4,3,1,118
2020,4,3,2,2687
2020,4,3,3,2993
2020,4,3,4,915
2020,4,3,5,13
2021,4,1,.,38
2021,4,1,1,25
2021,4,1,2,10818
2021,4,1,3,9412
2021,4,1,4,1896
2021,4,1,5,-1
2021,4,2,.,133
2021,4,2,1,84
2021,4,2,2,17632
2021,4,2,3,19224
2021,4,2,4,4618
2021,4,2,5,32
2021,4,3,.,46
2021,4,3,1,138
2021,4,3,2,2976
2021,4,3,3,3379
2021,4,3,4,1122
2021,4,3,5,17
2022,4,1,.,36
2022,4,1,1,29
2022,4,1,2,10291
2022,4,1,3,10158
2022,4,1,4,2040
2022,4,1,5,-1
2022,4,2,.,149
2022,4,2,1,114
2022,4,2,2,16446
2022,4,2,3,19866
2022,4,2,4,5285
2022,4,2,5,37
2022,4,3,.,61
2022,4,3,1,133
2022,4,3,2,2907
2022,4,3,3,3506
2022,4,3,4,1264
2022,4,3,5,22
2015,5,1,.,30
2015,5,1,1,44
2015,5,1,2,9377
2015,5,1,3,5259
2015,5,1,4,667
2015,5,1,5,-1
2015,5,2,.,80
2015,5,2,1,184
2015,5,2,2,16104
2015,5,2,3,10652
2015,5,2,4,1159
2015,5,2,5,-1
2015,5,3,.,17
2015,5,3,1,137
2015,5,3,2,2235
2015,5,3,3,1548
2015,5,3,4,262
2015,5,3,5,-1
2016,5,1,.,43
2016,5,1,1,26
2016,5,1,2,9961
2016,5,1,3,5793
2016,5,1,4,823
2016,5,1,5,-1
2016,5,2,.,129
2016,5,2,1,156
2016,5,2,2,17437
2016,5,2,3,12313
2016,5,2,4,1574
2016,5,2,5,-1
2016,5,3,.,15
2016,5,3,1,130
2016,5,3,2,2856
2016,5,3,3,1879
2016,5,3,4,319
2016,5,3,5,-1
2017,5,1,.,40
2017,5,1,1,39
2017,5,1,2,10220
2017,5,1,3,6214
2017,5,1,4,982
2017,5,1,5,-1
2017,5,2,.,119
2017,5,2,1,106
2017,5,2,2,18514
2017,5,2,3,14017
2017,5,2,4,2044
2017,5,2,5,-1
2017,5,3,.,29
2017,5,3,1,110
2017,5,3,2,3273
2017,5,3,3,2452
2017,5,3,4,505
2017,5,3,5,-1
2018,5,1,.,42
2018,5,1,1,41
2018,5,1,2,11229
2018,5,1,3,7779
2018,5,1,4,1290
2018,5,1,5,-1
2018,5,2,.,111
2018,5,2,1,102
2018,5,2,2,18973
2018,5,2,3,15478
2018,5,2,4,2686
2018,5,2,5,-1
2018,5,3,.,23
2018,5,3,1,117
2018,5,3,2,3139
2018,5,3,3,2730
2018,5,3,4,642
2018,5,3,5,-1
2019,5,1,.,52
2019,5,1,1,34
2019,5,1,2,11030
2019,5,1,3,8189
2019,5,1,4,1466
2019,5,1,5,-1
2019,5,2,.,92
2019,5,2,1,100
2019,5,2,2,19017
2019,5,2,3,16790
2019,5,2,4,3329
2019,5,2,5,16
2019,5,3,.,25
2019,5,3,1,101
2019,5,3,2,2946
2019,5,3,3,2819
2019,5,3,4,764
2019,5,3,5,-1
2020,5,1,.,53
2020,5,1,1,30
2020,5,1,2,10645
2020,5,1,3,8608
2020,5,1,4,1690
2020,5,1,5,-1
2020,5,2,.,125
2020,5,2,1,87
2020,5,2,2,19310
2020,5,2,3,18653
2020,5,2,4,3984
2020,5,2,5,20
2020,5,3,.,36
2020,5,3,1,118
2020,5,3,2,2602
2020,5,3,3,2938
2020,5,3,4,892
2020,5,3,5,11
2021,5,1,.,38
2021,5,1,1,28
2021,5,1,2,10730
2021,5,1,3,9347
2021,5,1,4,1852
2021,5,1,5,-1
2021,5,2,.,135
2021,5,2,1,94
2021,5,2,2,17549
2021,5,2,3,19156
2021,5,2,4,4621
2021,5,2,5,32
2021,5,3,.,50
2021,5,3,1,146
2021,5,3,2,2976
2021,5,3,3,3412
2021,5,3,4,1128
2021,5,3,5,19
2022,5,1,.,34
2022,5,1,1,28
2022,5,1,2,10240
2022,5,1,3,10109
2022,5,1,4,2031
2022,5,1,5,-1
2022,5,2,.,146
2022,5,2,1,111
2022,5,2,2,16378
2022,5,2,3,19824
2022,5,2,4,5292
2022,5,2,5,37
2022,5,3,.,59
2022,5,3,1,144
2022,5,3,2,2888
2022,5,3,3,3534
2022,5,3,4,1256
2022,5,3,5,23
2015,6,1,.,32
2015,6,1,1,48
2015,6,1,2,9420
2015,6,1,3,5286
2015,6,1,4,672
2015,6,1,5,-1
2015,6,2,.,85
2015,6,2,1,188
2015,6,2,2,16288
2015,6,2,3,10731
2015,6,2,4,1171
2015,6,2,5,-1
2015,6,3,.,19
2015,6,3,1,133
2015,6,3,2,2280
2015,6,3,3,1621
2015,6,3,4,263
2015,6,3,5,-1
2016,6,1,.,45
2016,6,1,1,28
2016,6,1,2,10006
2016,6,1,3,5812
2016,6,1,4,814
2016,6,1,5,-1
2016,6,2,.,121
2016,6,2,1,167
2016,6,2,2,17696
2016,6,2,3,12448
2016,6,2,4,1588
2016,6,2,5,-1
2016,6,3,.,12
2016,6,3,1,138
2016,6,3,2,2847
2016,6,3,3,1886
2016,6,3,4,305
2016,6,3,5,-1
2017,6,1,.,37
2017,6,1,1,48
2017,6,1,2,11432
2017,6,1,3,7353
2017,6,1,4,1123
2017,6,1,5,-1
2017,6,2,.,116
2017,6,2,1,115
2017,6,2,2,18581
2017,6,2,3,14101
2017,6,2,4,2072
2017,6,2,5,-1
2017,6,3,.,31
2017,6,3,1,125
2017,6,3,2,3266
2017,6,3,3,2526
2017,6,3,4,520
2017,6,3,5,-1
2018,6,1,.,42
2018,6,1,1,40
2018,6,1,2,11204
2018,6,1,3,7773
2018,6,1,4,1280
2018,6,1,5,-1
2018,6,2,.,109
2018,6,2,1,102
2018,6,2,2,18992
2018,6,2,3,15500
2018,6,2,4,2700
2018,6,2,5,11
2018,6,3,.,26
2018,6,3,1,115
2018,6,3,2,3126
2018,6,3,3,2737
2018,6,3,4,639
2018,6,3,5,-1
2019,6,1,.,54
2019,6,1,1,35
2019,6,1,2,11010
2019,6,1,3,8187
2019,6,1,4,1461
2019,6,1,5,-1
2019,6,2,.,97
2019,6,2,1,103
2019,6,2,2,19115
2019,6,2,3,16857
2019,6,2,4,3332
2019,6,2,5,17
2019,6,3,.,28
2019,6,3,1,109
2019,6,3,2,2945
2019,6,3,3,2784
2019,6,3,4,770
2019,6,3,5,-1
2020,6,1,.,53
2020,6,1,1,27
2020,6,1,2,10681
2020,6,1,3,8627
2020,6,1,4,1702
2020,6,1,5,-1
2020,6,2,.,116
2020,6,2,1,93
2020,6,2,2,19134
2020,6,2,3,18704
2020,6,2,4,3995
2020,6,2,5,21
2020,6,3,.,35
2020,6,3,1,116
2020,6,3,2,2595
2020,6,3,3,2966
2020,6,3,4,899
2020,6,3,5,-1
2021,6,1,.,36
2021,6,1,1,27
2021,6,1,2,10796
2021,6,1,3,9405
2021,6,1,4,1850
2021,6,1,5,-1
2021,6,2,.,136
2021,6,2,1,106
2021,6,2,2,17575
2021,6,2,3,19200
2021,6,2,4,4625
2021,6,2,5,32
2021,6,3,.,50
2021,6,3,1,143
2021,6,3,2,3025
2021,6,3,3,3396
2021,6,3,4,1107
2021,6,3,5,18
2022,6,1,.,33
2022,6,1,1,27
2022,6,1,2,10204
2022,6,1,3,10026
2022,6,1,4,2013
2022,6,1,5,-1
2022,6,2,.,145
2022,6,2,1,116
2022,6,2,2,16349
2022,6,2,3,19772
2022,6,2,4,5276
2022,6,2,5,36
2022,6,3,.,67
2022,6,3,1,139
2022,6,3,2,2860
2022,6,3,3,3474
2022,6,3,4,1248
2022,6,3,5,22
2015,7,1,.,37
2015,7,1,1,52
2015,7,1,2,9649
2015,7,1,3,5419
2015,7,1,4,682
2015,7,1,5,-1
2015,7,2,.,91
2015,7,2,1,193
2015,7,2,2,16458
2015,7,2,3,10820
2015,7,2,4,1189
2015,7,2,5,-1
2015,7,3,.,25
2015,7,3,1,139
2015,7,3,2,2360
2015,7,3,3,1641
2015,7,3,4,259
2015,7,3,5,-1
2016,7,1,.,45
2016,7,1,1,27
2016,7,1,2,10033
2016,7,1,3,5856
2016,7,1,4,813
2016,7,1,5,-1
2016,7,2,.,124
2016,7,2,1,175
2016,7,2,2,17809
2016,7,2,3,12538
2016,7,2,4,1595
2016,7,2,5,-1
2016,7,3,.,19
2016,7,3,1,139
2016,7,3,2,2793
2016,7,3,3,1863
2016,7,3,4,296
2016,7,3,5,-1
2017,7,1,.,37
2017,7,1,1,49
2017,7,1,2,11402
2017,7,1,3,7374
2017,7,1,4,1123
2017,7,1,5,-1
2017,7,2,.,119
2017,7,2,1,115
2017,7,2,2,18602
2017,7,2,3,14139
2017,7,2,4,2092
2017,7,2,5,-1
2017,7,3,.,30
2017,7,3,1,126
2017,7,3,2,3311
2017,7,3,3,2546
2017,7,3,4,526
2017,7,3,5,-1
2018,7,1,.,43
2018,7,1,1,44
2018,7,1,2,11187
2018,7,1,3,7796
2018,7,1,4,1282
2018,7,1,5,-1
2018,7,2,.,112
2018,7,2,1,103
2018,7,2,2,19037
2018,7,2,3,15543
2018,7,2,4,2741
2018,7,2,5,-1
2018,7,3,.,22
2018,7,3,1,113
2018,7,3,2,3081
2018,7,3,3,2673
2018,7,3,4,617
2018,7,3,5,-1
2019,7,1,.,57
2019,7,1,1,35
2019,7,1,2,10870
2019,7,1,3,8075
2019,7,1,4,1453
2019,7,1,5,-1
2019,7,2,.,94
2019,7,2,1,105
2019,7,2,2,19441
2019,7,2,3,17070
2019,7,2,4,3368
2019,7,2,5,18
2019,7,3,.,24
2019,7,3,1,112
2019,7,3,2,2946
2019,7,3,3,2823
2019,7,3,4,799
2019,7,3,5,-1
2020,7,1,.,48
2020,7,1,1,27
2020,7,1,2,10769
2020,7,1,3,8646
2020,7,1,4,1708
2020,7,1,5,-1
2020,7,2,.,119
2020,7,2,1,92
2020,7,2,2,19071
2020,7,2,3,18634
2020,7,2,4,3968
2020,7,2,5,20
2020,7,3,.,32
2020,7,3,1,113
2020,7,3,2,2639
2020,7,3,3,2981
2020,7,3,4,909
2020,7,3,5,-1
2021,7,1,.,38
2021,7,1,1,26
2021,7,1,2,10876
2021,7,1,3,9405
2021,7,1,4,1850
2021,7,1,5,-1
2021,7,2,.,131
2021,7,2,1,107
2021,7,2,2,17575
2021,7,2,3,19150
2021,7,2,4,4630
2021,7,2,5,33
2021,7,3,.,52
2021,7,3,1,139
2021,7,3,2,2994
2021,7,3,3,3461
2021,7,3,4,1099
2021,7,3,5,16
2022,7,1,.,29
2022,7,1,1,29
2022,7,1,2,10118
2022,7,1,3,9909
2022,7,1,4,1966
2022,7,1,5,-1
2022,7,2,.,141
2022,7,2,1,115
2022,7,2,2,16269
2022,7,2,3,19714
2022,7,2,4,5249
2022,7,2,5,37
2022,7,3,.,67
2022,7,3,1,138
2022,7,3,2,2814
2022,7,3,3,3443
2022,7,3,4,1230
2022,7,3,5,23
2015,8,1,.,37
2015,8,1,1,51
2015,8,1,2,9678
2015,8,1,3,5416
2015,8,1,4,683
2015,8,1,5,-1
2015,8,2,.,99
